id,adc_mq135,adc_mq136,adc_mq137,adc_mq138,adc_mq2,adc_mq3,adc_tgs822,adc_tgs2620,temp,humidity,time,createdAt,updatedAt,roastId,roastStatus
12933,21196,2748,16770,15378,11220,21312,20924,22687,63.79999924,20.84000015,2024-03-21 08:52:35.699 +0700,2024-03-21 15:52:42.703 +0700,2024-03-21 15:52:42.703 +0700,55,3
12934,21187,2748,16755,15365,11188,21293,20905,22677,63.81999969,20.84000015,2024-03-21 08:52:36.636 +0700,2024-03-21 15:52:42.703 +0700,2024-03-21 15:52:42.703 +0700,55,3
12935,21176,2750,16722,15335,11146,21278,20889,22669,63.77000046,20.84000015,2024-03-21 08:52:36.666 +0700,2024-03-21 15:52:42.703 +0700,2024-03-21 15:52:42.703 +0700,55,3
12936,21167,2750,16692,15310,11235,21264,20880,22662,63.79999924,20.80999947,2024-03-21 08:52:36.690 +0700,2024-03-21 15:52:42.703 +0700,2024-03-21 15:52:42.703 +0700,55,3
12937,21155,2749,16661,15281,11192,21239,20730,22520,63.81999969,20.87000084,2024-03-21 08:52:36.710 +0700,2024-03-21 15:52:42.703 +0700,2024-03-21 15:52:42.703 +0700,55,3
12938,21149,2750,16629,15248,11149,21223,20716,22516,63.79999924,20.84000015,2024-03-21 08:52:36.917 +0700,2024-03-21 15:52:42.703 +0700,2024-03-21 15:52:42.703 +0700,55,3
12939,21128,2749,16589,15214,10980,21197,20694,22498,63.79999924,20.81999969,2024-03-21 08:52:37.165 +0700,2024-03-21 15:52:42.703 +0700,2024-03-21 15:52:42.703 +0700,55,3
12940,21116,2750,16556,15179,10931,21177,20675,22494,63.79999924,20.80999947,2024-03-21 08:52:37.435 +0700,2024-03-21 15:52:42.703 +0700,2024-03-21 15:52:42.703 +0700,55,3
12941,21098,2750,16518,15138,10880,21164,20654,22474,63.79999924,20.84000015,2024-03-21 08:52:37.684 +0700,2024-03-21 15:52:42.703 +0700,2024-03-21 15:52:42.703 +0700,55,3
12942,21089,2748,16477,15093,10959,21124,20630,22461,63.81999969,20.78000069,2024-03-21 08:52:37.929 +0700,2024-03-21 15:52:42.703 +0700,2024-03-21 15:52:42.703 +0700,55,3
12943,21066,2748,16439,15055,10919,21103,20617,22453,63.83000183,20.84000015,2024-03-21 08:52:38.170 +0700,2024-03-21 15:52:42.703 +0700,2024-03-21 15:52:42.703 +0700,55,3
12944,21050,2746,16407,15017,10751,21083,20732,22441,63.83000183,20.87000084,2024-03-21 08:52:38.429 +0700,2024-03-21 15:52:42.703 +0700,2024-03-21 15:52:42.703 +0700,55,3
12945,21032,2748,16368,14983,10715,21056,20710,22425,63.81999969,20.81999969,2024-03-21 08:52:38.674 +0700,2024-03-21 15:52:42.703 +0700,2024-03-21 15:52:42.703 +0700,55,3
12946,21017,2747,16330,14938,10673,21032,20692,22409,63.79999924,20.80999947,2024-03-21 08:52:38.934 +0700,2024-03-21 15:52:42.703 +0700,2024-03-21 15:52:42.703 +0700,55,3
12947,21010,2749,16283,14901,10751,21005,20674,22521,63.83000183,20.84000015,2024-03-21 08:52:39.179 +0700,2024-03-21 15:52:42.703 +0700,2024-03-21 15:52:42.703 +0700,55,3
12948,20994,2751,16248,14860,10714,20985,20657,22509,63.81999969,20.81999969,2024-03-21 08:52:39.425 +0700,2024-03-21 15:52:42.703 +0700,2024-03-21 15:52:42.703 +0700,55,3
12949,20978,2747,16206,14820,10673,20953,20637,22487,63.84000015,20.87999916,2024-03-21 08:52:39.678 +0700,2024-03-21 15:52:42.703 +0700,2024-03-21 15:52:42.703 +0700,55,3
12950,20969,2751,16168,14790,10633,20933,20618,22475,63.86000061,20.88999939,2024-03-21 08:52:39.926 +0700,2024-03-21 15:52:42.703 +0700,2024-03-21 15:52:42.703 +0700,55,3
12951,20954,2749,16132,14754,10464,20903,20477,22463,63.83000183,20.87000084,2024-03-21 08:52:40.172 +0700,2024-03-21 15:52:42.703 +0700,2024-03-21 15:52:42.703 +0700,55,3
12952,20943,2748,16093,14710,10423,20880,20460,22440,63.79999924,20.84000015,2024-03-21 08:52:40.421 +0700,2024-03-21 15:52:42.703 +0700,2024-03-21 15:52:42.703 +0700,55,3
12953,20923,2747,16062,14667,10390,20859,20444,22422,63.83000183,20.84000015,2024-03-21 08:52:40.660 +0700,2024-03-21 15:52:42.703 +0700,2024-03-21 15:52:42.703 +0700,55,3
12954,20919,2748,16035,14640,10491,20837,20432,22409,63.83000183,20.79999924,2024-03-21 08:52:40.925 +0700,2024-03-21 15:52:42.703 +0700,2024-03-21 15:52:42.703 +0700,55,3
12955,20906,2748,16016,14613,10477,20823,20428,22267,63.86000061,20.79999924,2024-03-21 08:52:41.165 +0700,2024-03-21 15:52:42.703 +0700,2024-03-21 15:52:42.703 +0700,55,3
12956,20902,2749,16005,14589,10464,20799,20422,22253,63.83000183,20.81999969,2024-03-21 08:52:41.395 +0700,2024-03-21 15:52:42.703 +0700,2024-03-21 15:52:42.703 +0700,55,3
12957,20896,2749,15995,14580,10455,20782,20428,22242,63.83000183,20.86000061,2024-03-21 08:52:41.652 +0700,2024-03-21 15:52:42.703 +0700,2024-03-21 15:52:42.703 +0700,55,3
12958,20885,2751,15994,14569,10455,20775,20424,22227,63.83000183,20.78000069,2024-03-21 08:52:41.917 +0700,2024-03-21 15:52:49.090 +0700,2024-03-21 15:52:49.090 +0700,55,3
