"id","adc_mq135","adc_mq136","adc_mq137","adc_mq138","adc_mq2","adc_mq3","adc_tgs822","adc_tgs2620","temp","humidity","time","createdAt","updatedAt","roastId","roastStatus"
19183,20968,2761,16603,15344,10386,21474,20663,21974,70.13999939,17.53000069,2024-03-21 09:21:56.196 +0700,2024-03-21 16:22:03.256 +0700,2024-03-21 16:22:03.256 +0700,57,3
19184,20980,2757,16636,15374,10412,21474,20691,21994,70.16999817,17.54999924,2024-03-21 09:21:56.457 +0700,2024-03-21 16:22:03.256 +0700,2024-03-21 16:22:03.256 +0700,57,3
19185,20991,2753,16663,15410,10466,21488,20719,22014,70.11000061,17.54999924,2024-03-21 09:21:56.674 +0700,2024-03-21 16:22:03.256 +0700,2024-03-21 16:22:03.256 +0700,57,3
19186,21002,2757,16695,15426,10644,21494,20610,21907,70.13999939,17.53000069,2024-03-21 09:21:56.926 +0700,2024-03-21 16:22:03.256 +0700,2024-03-21 16:22:03.256 +0700,57,3
19187,21016,2761,16726,15447,10714,21510,20634,21929,70.12999725,17.56999969,2024-03-21 09:21:57.214 +0700,2024-03-21 16:22:03.256 +0700,2024-03-21 16:22:03.256 +0700,57,3
19188,21037,2753,16747,15470,10625,21509,20655,21946,70.12999725,17.47999954,2024-03-21 09:21:57.430 +0700,2024-03-21 16:22:03.256 +0700,2024-03-21 16:22:03.256 +0700,57,3
19189,21050,2757,16774,15493,10642,21523,20670,21971,70.13999939,17.42000008,2024-03-21 09:21:57.681 +0700,2024-03-21 16:22:03.256 +0700,2024-03-21 16:22:03.256 +0700,57,3
19190,21055,2756,16790,15518,10669,21530,20687,21986,70.13999939,17.44000053,2024-03-21 09:21:57.979 +0700,2024-03-21 16:22:03.256 +0700,2024-03-21 16:22:03.256 +0700,57,3
19191,21064,2753,16812,15539,10686,21544,20694,22000,70.15000153,17.47999954,2024-03-21 09:21:58.186 +0700,2024-03-21 16:22:03.256 +0700,2024-03-21 16:22:03.256 +0700,57,3
19192,21081,2757,16827,15572,10707,21548,20714,22149,70.15000153,17.5,2024-03-21 09:21:58.437 +0700,2024-03-21 16:22:03.256 +0700,2024-03-21 16:22:03.256 +0700,57,3
19193,21075,2757,16847,15583,10729,21565,20723,22163,70.13999939,17.52000046,2024-03-21 09:21:58.704 +0700,2024-03-21 16:22:03.256 +0700,2024-03-21 16:22:03.256 +0700,57,3
19194,21094,2760,16858,15602,10743,21565,20730,22183,70.13999939,17.5,2024-03-21 09:21:58.949 +0700,2024-03-21 16:22:03.256 +0700,2024-03-21 16:22:03.256 +0700,57,3
19195,21095,2761,16878,15597,10880,21577,20866,22196,70.13999939,17.52000046,2024-03-21 09:21:59.219 +0700,2024-03-21 16:22:03.256 +0700,2024-03-21 16:22:03.256 +0700,57,3
19196,21103,2753,16881,15600,10888,21581,20869,22205,70.13999939,17.44000053,2024-03-21 09:21:59.471 +0700,2024-03-21 16:22:03.256 +0700,2024-03-21 16:22:03.256 +0700,57,3
19197,21097,2758,16898,15588,10908,21591,20875,22212,70.13999939,17.44000053,2024-03-21 09:21:59.704 +0700,2024-03-21 16:22:03.256 +0700,2024-03-21 16:22:03.256 +0700,57,3
19198,21114,2761,16904,15603,10937,21598,20881,22232,70.18000031,17.5,2024-03-21 09:21:59.964 +0700,2024-03-21 16:22:03.256 +0700,2024-03-21 16:22:03.256 +0700,57,3
19199,21118,2761,16907,15612,10934,21604,20886,22242,70.15000153,17.47999954,2024-03-21 09:22:00.238 +0700,2024-03-21 16:22:03.256 +0700,2024-03-21 16:22:03.256 +0700,57,3
19200,21123,2753,16915,15614,10938,21613,20885,22254,70.18000031,17.46999931,2024-03-21 09:22:00.480 +0700,2024-03-21 16:22:03.256 +0700,2024-03-21 16:22:03.256 +0700,57,3
19201,21127,2756,16920,15611,10944,21621,20887,22259,70.13999939,17.47999954,2024-03-21 09:22:00.734 +0700,2024-03-21 16:22:03.256 +0700,2024-03-21 16:22:03.256 +0700,57,3
19202,21126,2757,16920,15604,10951,21623,20882,22270,70.13999939,17.44000053,2024-03-21 09:22:00.962 +0700,2024-03-21 16:22:03.256 +0700,2024-03-21 16:22:03.256 +0700,57,3
19203,21136,2764,16918,15598,10945,21630,20880,22153,70.13999939,17.42000008,2024-03-21 09:22:01.236 +0700,2024-03-21 16:22:03.256 +0700,2024-03-21 16:22:03.256 +0700,57,3
19204,21127,2761,16923,15585,10941,21636,20871,22152,70.15000153,17.53000069,2024-03-21 09:22:01.470 +0700,2024-03-21 16:22:03.256 +0700,2024-03-21 16:22:03.256 +0700,57,3
19205,21130,2756,16914,15588,10930,21640,20874,22161,70.13999939,17.42000008,2024-03-21 09:22:01.742 +0700,2024-03-21 16:22:03.256 +0700,2024-03-21 16:22:03.256 +0700,57,3
19206,21131,2757,16924,15589,10934,21651,20875,22166,70.12999725,17.46999931,2024-03-21 09:22:01.977 +0700,2024-03-21 16:22:03.256 +0700,2024-03-21 16:22:03.256 +0700,57,3
